genus	species	subspecies	latitude	longitude	id	year	month	date	institution_code	verbatim_scientific_name	Source	Type
Cakile	arabica		24.4204	46.2453	215155552	1992	5		UPS	Cacile arabica Velen & Bornm.	GBIF2014	herbarium
Cakile	arabica		24.21667	44.21667	575092310	1983	3		E	Cakile arabica Velen. & Bornm.	GBIF2014	herbarium
Cakile	arabica		27.13333	58.58333	575341916	1972	4		E	Cakile arabica Velen. & Bornm.	GBIF2014	herbarium
Cakile	arabica		29.76667	37.96667	574797128	1982	3		E	Cakile arabica Velen. & Bornm.	GBIF2014	herbarium
Cakile	arabica		29.76667	37.96667	574847260	1982	3		E	Cakile arabica Velen. & Bornm.	GBIF2014	herbarium
Cakile	arabica		29.76667	37.96667	575084178	1982	3		E	Cakile arabica Velen. & Bornm.	GBIF2014	herbarium
Cakile	arabica		30.16667	47.5	575092309	1957	3		E	Cakile arabica Velen. & Bornm.	GBIF2014	herbarium
Cakile	arabica		27.20694	60.69028	788506225	1977	3		LD	Cakile arabica	GBIF2014	herbarium
Cakile	arctica		67.15733	14.21525	683508684	2010	7		NBF	Cakile maritima islandica	GBIF2014	herbarium
Cakile	arctica		67.17551	14.23418	682971041	2010	7		NBF	Cakile maritima islandica	GBIF2014	herbarium
Cakile	arctica		67.17983	14.39822	682935537	2010	7		NBF	Cakile maritima islandica	GBIF2014	herbarium
Cakile	arctica		67.24928	8.70247	683119421	2012	6		NBF	Cakile maritima islandica	GBIF2014	herbarium
Cakile	arctica		67.30131	14.39299	682975895	2007	8		NBF	Cakile maritima islandica	GBIF2014	herbarium
Cakile	arctica		67.31942	14.45823	682975645	2006	9		NBF	Cakile maritima islandica	GBIF2014	herbarium
Cakile	arctica		67.32023	14.45735	682976139	2007	6		NBF	Cakile maritima islandica	GBIF2014	herbarium
Cakile	arctica		67.32048	14.45821	682976138	2007	6		NBF	Cakile maritima islandica	GBIF2014	herbarium
Cakile	arctica		67.32396	14.48028	683053111	2011	8		NBF	Cakile maritima islandica	GBIF2014	herbarium
Cakile	arctica		67.32721	14.48174	683053112	2011	8		NBF	Cakile maritima islandica	GBIF2014	herbarium
Cakile	arctica		67.39429	14.64443	683053085	2011	8		NBF	Cakile maritima islandica	GBIF2014	herbarium
Cakile	arctica		67.72095	14.88766	683043579	2011	7		NBF	Cakile maritima islandica	GBIF2014	herbarium
Cakile	arctica		67.84801	12.84801	675220711	2007	8		BioFokus	Cakile maritima islandica	GBIF2014	herbarium
Cakile	arctica		68.19206	13.53831	682992733	1989	6		NBF	Cakile maritima islandica	GBIF2014	herbarium
Cakile	arctica		68.20946	13.49575	682992734	1989	6		NBF	Cakile maritima islandica	GBIF2014	herbarium
Cakile	arctica		68.25837	16.03129	682935835	2010	8		NBF	Cakile maritima islandica	GBIF2014	herbarium
Cakile	arctica		68.25837	16.03129	683507065	2011	7		NBF	Cakile maritima islandica	GBIF2014	herbarium
Cakile	arctica		69.3829	17.10509	675229343	1994	7		BioFokus	Cakile maritima islandica	GBIF2014	herbarium
Cakile	arctica		69.61968	18.01335	682936438	2010	7		NBF	Cakile maritima islandica	GBIF2014	herbarium
Cakile	arctica		78.34712	15.84258	675022826	1939			Svalbard	Cakile maritima islandica	GBIF2014	herbarium
Cakile	arctica		58.43486	8.82311	675196029	2011	9		BioFokus	Cakile maritima maritima	GBIF2014	herbarium
Cakile	arctica		58.43558	8.82447	675229342	1985	7		BioFokus	Cakile maritima maritima	GBIF2014	herbarium
Cakile	arctica		58.43558	8.82447	675196031	2011	9		BioFokus	Cakile maritima maritima	GBIF2014	herbarium
Cakile	arctica		58.45617	8.88457	675195553	2011	9		BioFokus	Cakile maritima maritima	GBIF2014	herbarium
Cakile	arctica		59.00733	9.75597	682788861	1981	7		NBF	Cakile maritima maritima	GBIF2014	herbarium
Cakile	arctica		67.13975	14.04742	683060092	2010	7		NBF	Cakile maritima maritima	GBIF2014	herbarium
Cakile	arctica		67.27305	14.47059	683060093	2011	9		NBF	Cakile maritima maritima	GBIF2014	herbarium
Cakile	arctica		68.01502	15.18072	683062554	2006	7		NBF	Cakile maritima maritima	GBIF2014	herbarium
Cakile	arctica		35.3522	24.3575	23271082	1996	5		LI	Cakile maritima maritima Scop.	GBIF2014	herbarium
Cakile	arctica		35.5167	23.8167	23271083	1996	5		LI	Cakile maritima maritima Scop.	GBIF2014	herbarium
Cakile	arctica		41.9	8.8	618877439	1980	5		G	Cakile maritima maritima Scop.	GBIF2014	herbarium
Cakile	arctica		66.3	-16.47	318105331	2008	8		ABH	Cakile arctica Pobed.	GBIF2014	herbarium
Cakile	arctica		69.22389	16.10528	233896967	2009	7		S	Cakile maritima Scop. ssp. islandica	GBIF2014	herbarium
Cakile	arctica		60.53946	4.84477	128332650	2000	8		BG	Cakile maritima Scop. ssp. islandica (Gand.) Hyl. ex Elven	GBIF2014	herbarium
Cakile	arctica		68.12148	13.13534	128332229	1896	7		BG	Cakile maritima Scop. ssp. islandica (Gand.) Hyl. ex Elven	GBIF2014	herbarium
Cakile	arctica		68.12148	13.13534	128332228	1889	7		BG	Cakile maritima Scop. ssp. islandica (Gand.) Hyl. ex Elven	GBIF2014	herbarium
Cakile	arctica		68.21653	13.70579	128332231	1968	9		BG	Cakile maritima Scop. ssp. islandica (Gand.) Hyl. ex Elven	GBIF2014	herbarium
Cakile	arctica		68.3016	14.46759	128332232	1869	8		BG	Cakile maritima Scop. ssp. islandica (Gand.) Hyl. ex Elven	GBIF2014	herbarium
Cakile	arctica		68.50598	14.8429	128332230	1971	7		BG	Cakile maritima Scop. ssp. islandica (Gand.) Hyl. ex Elven	GBIF2014	herbarium
Cakile	arctica		70.93802	24.47722	128332234	1881	8		BG	Cakile maritima Scop. ssp. islandica (Gand.) Hyl. ex Elven	GBIF2014	herbarium
Cakile	arctica		62.12002	5.15525	865491744	2007	7		O	Cakile maritima ssp. islandica	GBIF2014	herbarium
Cakile	arctica		66.35117	12.30617	128257064	1909	7		O	Cakile maritima ssp. islandica	GBIF2014	herbarium
Cakile	arctica		66.48659	12.06703	20557502	1893			O	Cakile maritima ssp. islandica	GBIF2014	herbarium
Cakile	arctica		66.52555	12.03196	187102837	1927	8		TRH	Cakile maritima ssp. islandica	GBIF2014	herbarium
Cakile	arctica		66.58224	12.22245	20557493	1885	7		O	Cakile maritima ssp. islandica	GBIF2014	herbarium
Cakile	arctica		66.95924	13.78987	20557507	1933	7		O	Cakile maritima ssp. islandica	GBIF2014	herbarium
Cakile	arctica		66.96065	13.79782	20558718	1991	7		O	Cakile maritima ssp. islandica	GBIF2014	herbarium
Cakile	arctica		67.26215	14.35199	20557511	1929	7		O	Cakile maritima ssp. islandica	GBIF2014	herbarium
Cakile	arctica		67.26596	14.40986	20557500	1913	6		O	Cakile maritima ssp. islandica	GBIF2014	herbarium
Cakile	arctica		67.32895	14.29557	187102835	1883	8		TRH	Cakile maritima ssp. islandica	GBIF2014	herbarium
Cakile	arctica		67.32895	14.29557	187102836	1929	7		TRH	Cakile maritima ssp. islandica	GBIF2014	herbarium
Cakile	arctica		67.51442	14.75046	128257067	1876	8		O	Cakile maritima ssp. islandica	GBIF2014	herbarium
Cakile	arctica		67.92273	15.01073	20557488	1912	7		O	Cakile maritima ssp. islandica	GBIF2014	herbarium
Cakile	arctica		67.99777	13.16882	20557506	1904			O	Cakile maritima ssp. islandica	GBIF2014	herbarium
Cakile	arctica		68.19472	13.53846	187102832	1978	7		TRH	Cakile maritima ssp. islandica	GBIF2014	herbarium
Cakile	arctica		68.23653	14.79578	128257066	1869	8		O	Cakile maritima ssp. islandica	GBIF2014	herbarium
Cakile	arctica		68.50015	14.7445	20557514	1911	7		O	Cakile maritima ssp. islandica	GBIF2014	herbarium
Cakile	arctica		68.50598	14.8429	187102831	1966	8		TRH	Cakile maritima ssp. islandica	GBIF2014	herbarium
